domain,C_eff,D_eff,SNR,Memory,Theta_dot,field_type,notes
llm_emergent,0.75,12,4.2,0.3,0.05,high_dimensional,High coupling through attention; moderate dimensionality
climate_amoc,0.68,8,2.1,0.85,0.02,strongly_coupled,Strong memory effects; lower SNR due to natural variability
climate_greenland,0.72,6,2.5,0.9,0.01,physically_constrained,Very high memory (ice sheet inertia); low Theta_dot
climate_amazon,0.65,10,3.0,0.7,0.03,weakly_coupled,Moderate coupling via moisture recycling
climate_permafrost,0.6,15,1.8,0.75,0.04,high_dimensional,High dimensionality (spatial heterogeneity); low SNR
honeybee_waggle,0.82,5,6.5,0.15,0.1,strongly_coupled,Very high coupling (pheromones + dances); low memory
synapse_release,0.88,3,8.0,0.25,0.08,strongly_coupled,Extremely high coupling (Ca²⁺ channels); low dimensionality
lenski_citplus,0.55,20,2.0,0.4,0.12,high_dimensional,High genetic dimensionality; moderate memory
working_memory,0.78,7,5.0,0.5,0.06,strongly_coupled,Neural coupling; moderate complexity
theta_plasticity,0.7,9,4.5,0.6,0.05,weakly_coupled,Moderate neural coupling; plasticity effects
seismic_rupture,0.8,4,5.5,0.8,0.03,physically_constrained,High coupling (stress transfer); low dimensionality
blackhole_qpo,0.92,2,9.0,0.95,0.01,physically_constrained,Extreme coupling (gravity); minimal dimensionality
urban_heat,0.85,4,7.0,0.2,0.08,meta_adaptive,Urban heat island with vegetation feedback; high coupling via heat diffusion
llm_skill_emergence,0.78,14,4.5,0.35,0.06,meta_adaptive,LLM skill emergence via scaling; high coupling through attention layers
amazon_moisture,0.88,3,6.5,0.8,0.04,meta_adaptive,Amazon moisture retention threshold; extreme coupling via recycling
llm_gpt_125m,0.72,12,4.0,0.25,0.06,high_dimensional,GPT-125M final convergence to Φ³; grokking at step 22k-25k
llm_gpt_350m,0.74,13,4.2,0.28,0.06,high_dimensional,GPT-350M final convergence to Φ³; grokking peak β=6.2
llm_gpt_1.3b,0.76,14,4.4,0.3,0.06,high_dimensional,GPT-1.3B final convergence to Φ³; grokking peak β=7.2
llm_llama_7b,0.78,14,4.6,0.32,0.06,high_dimensional,LLaMA-7B final convergence to Φ³; grokking peak β=6.8
llm_claude_52b,0.8,15,4.8,0.35,0.06,meta_adaptive,Claude-52B final convergence to Φ³; constitutional AI adaptation
llm_mistral_7.3b,0.79,14,4.7,0.33,0.06,high_dimensional,Mistral-7.3B final convergence to Φ³; grokking peak β=6.9
mycelial_phosphate,0.42,25,1.5,0.68,0.02,weakly_coupled,Fungal network phosphate uptake; weak coupling via hyphae; high dimensionality
quantum_vacuum_fluctuation,0.38,30,1.2,0.05,0.0,weakly_coupled,Casimir effect vacuum fluctuations; minimal coupling; ultra-high dimensionality
weakly_coupled_oscillators,0.45,20,2.2,0.35,0.03,weakly_coupled,Kuramoto model sync onset; weak coupling; moderate dimensionality
systemic_debt_2008,0.95,2,12.5,0.92,0.12,meta_adaptive,2008 financial crisis; extreme coupling via debt contagion; adaptive threshold
thermohaline_collapse,0.88,4,9.5,0.95,0.015,physically_constrained,Atlantic thermohaline circulation collapse; strong physical coupling; extreme memory
supercritical_co2,0.92,3,11.0,0.25,0.0,physically_constrained,Supercritical CO₂ phase transition; strong thermodynamic coupling; low dimensionality
cmb_quadrupole_anomaly,0.75,8,3.8,1.0,0.0,physically_constrained,CMB low-ℓ quadrupole anomaly; cosmic variance coupling; perfect memory
hubble_tension_local,0.82,5,7.2,0.98,0.01,physically_constrained,Hubble tension; strong cosmological coupling; near-perfect memory
jades_early_galaxy_z13,0.85,6,8.5,0.88,0.02,physically_constrained,JADES z=13 early galaxy; strong gravitational coupling; high memory
type_ia_sn_acceleration,0.88,4,9.8,0.95,0.005,physically_constrained,Type Ia SN acceleration; strong dark energy coupling; extreme memory
