domain,C_eff,D_eff,SNR,Memory,Theta_dot,notes
llm_emergent,0.75,12,4.2,0.30,0.05,High coupling through attention; moderate dimensionality
climate_amoc,0.68,8,2.1,0.85,0.02,Strong memory effects; lower SNR due to natural variability
climate_greenland,0.72,6,2.5,0.90,0.01,Very high memory (ice sheet inertia); low Theta_dot
climate_amazon,0.65,10,3.0,0.70,0.03,Moderate coupling via moisture recycling
climate_permafrost,0.60,15,1.8,0.75,0.04,High dimensionality (spatial heterogeneity); low SNR
honeybee_waggle,0.82,5,6.5,0.15,0.10,Very high coupling (pheromones + dances); low memory
synapse_release,0.88,3,8.0,0.25,0.08,Extremely high coupling (Ca²⁺ channels); low dimensionality
lenski_citplus,0.55,20,2.0,0.40,0.12,High genetic dimensionality; moderate memory
working_memory,0.78,7,5.0,0.50,0.06,Neural coupling; moderate complexity
theta_plasticity,0.70,9,4.5,0.60,0.05,Moderate neural coupling; plasticity effects
seismic_rupture,0.80,4,5.5,0.80,0.03,High coupling (stress transfer); low dimensionality
blackhole_qpo,0.92,2,9.0,0.95,0.01,Extreme coupling (gravity); minimal dimensionality
